FrameIndex,TotalArea_um2,ROI_Area_um2,IceAreaFraction,MeanArea_um2,MedianArea_um2,MaxArea_um2,MeanRadius_um,StdRadius_um,StdArea_um2
1,623.392,229077.9744,0.0027213092032649,27.104,23.4256,45.6896,2.906613866629,0.432673541916818,8.28212316740098
2,188881.7744,229077.9744,0.824530489649728,53.7512163915765,49.1744,154.2992,4.02685811757367,0.945627698388243,24.7742004047183
3,176297.5808,229077.9744,0.769596384208294,72.0464163465468,67.5664,232.1264,4.65210886745215,1.1364406982699,33.7142622577599
4,168003.3696,229077.9744,0.733389449771562,83.8758709935097,80.1504,249.9376,5.01599068082445,1.24061470618504,39.4179390548375
5,162111.7344,229077.9744,0.707670542419464,94.4707076923077,90.2176,271.8144,5.32016441732901,1.32960181866515,44.5786988776932
6,157406.0928,229077.9744,0.687128883570222,104.519317928287,101.0592,276.6544,5.60136707101889,1.37676350432,48.0902702231359
7,154182.4592,229077.9744,0.673056672531849,111.564731693198,106.964,309.5664,5.78452270679014,1.43280828672987,51.5842305744534
8,151125.9024,229077.9744,0.659713806165034,119.372750710901,115.0952,317.6976,5.98975527326024,1.45672050558044,54.3943373368204
9,149156.6032,229077.9744,0.651117173489378,126.403901016949,121.6776,332.7984,6.16435122077327,1.49608897535679,57.4470749466428
10,146803.7824,229077.9744,0.640846344064757,131.074805714286,125.4528,350.0288,6.27995947836114,1.51213657034523,59.607147785589
11,145226.136,229077.9744,0.633959403475501,135.979528089888,128.5504,370.9376,6.39035558160964,1.56501660716891,62.6396072385961
12,143677.1424,229077.9744,0.627197541694345,140.309709375,132.132,397.0736,6.48467874028969,1.6166203838051,65.6327596600777
13,142430.1648,229077.9744,0.621754078160733,144.306144680851,134.9392,420.3056,6.57404554363643,1.64886392425758,68.0482216192307
14,140905.7584,229077.9744,0.61509954751896,148.478143730242,139.5856,429.2112,6.66822364555132,1.67326169885812,70.2487099089957
15,139008.672,229077.9744,0.606818147244801,151.756192139738,143.4576,440.44,6.73522323747065,1.71624001188604,72.5439829818988
16,138098.752,229077.9744,0.602846049960533,155.867665914221,147.0392,450.7008,6.82547141974413,1.74085594282539,74.7201148789569
17,136516.2656,229077.9744,0.595937981194232,157.640029561201,149.3624,461.3488,6.85064141070572,1.80301025878744,77.3855644650442
18,135006.96,229077.9744,0.589349370464837,160.722571428571,151.7824,470.8352,6.91055323110013,1.84604834063455,79.6838968649718
19,133699.192,229077.9744,0.583640537027553,164.857203452528,156.816,482.8384,7.0006017580538,1.86320510185167,81.7490612660977
20,133388.8512,229077.9744,0.582285798315493,169.275191878173,161.7528,493.68,7.08482858234818,1.92142033813957,85.0301228111325
21,132742.6144,229077.9744,0.57946476411658,173.519757385621,164.9472,507.0384,7.17093237220272,1.95339987544656,87.3304292169869
22,132085.7296,229077.9744,0.576597247928171,178.977953387534,167.6576,510.136,7.2990463156881,1.92337920700094,88.363951836947
23,131155.0944,229077.9744,0.572534722046154,181.153445303867,170.6584,499.2944,7.33554880386057,1.96417540235958,90.3417639192074
24,130649.4112,229077.9744,0.570327250108599,183.239005890603,173.4656,508.7808,7.36406808450978,2.02559694279268,93.1498195503196
25,130137.3392,229077.9744,0.568091888977346,188.331894645441,178.3056,515.5568,7.47478567503816,2.02024492544917,94.7295761216054
26,128907.7856,229077.9744,0.562724486881092,192.39968,179.1768,523.688,7.56715507110896,1.99670600544921,95.6061745341234
27,128153.3264,229077.9744,0.559431026643476,193.001997590361,181.016,530.464,7.56383249218313,2.05651434975553,98.1179015997352
28,128079.5648,229077.9744,0.559109033225326,195.24323902439,182.8552,545.3712,7.59371064717803,2.11902258186484,100.909418299362
29,127096.2704,229077.9744,0.554816632777071,199.836903144654,185.9528,558.3424,7.69685397068622,2.09174099212216,100.991777436006
30,126802.7728,229077.9744,0.553535420121124,204.520601290323,190.4056,569.5712,7.80274474085658,2.05546058395954,101.492172901679
31,126452.5504,229077.9744,0.552006585230221,206.284747797716,192.0512,579.0576,7.82676074395628,2.10035411383036,103.803290922367
32,125952.0944,229077.9744,0.549821931723873,208.18528,196.1168,596.8688,7.86080442811047,2.11721415406023,105.575718321093
33,126103.6832,229077.9744,0.550483666228891,209.823100166389,196.6976,608.0976,7.87915447824968,2.17152895298199,108.212402422858
34,126221.1984,229077.9744,0.550996658367519,211.780534228188,198.44,621.6496,7.90258199531105,2.22920914864044,110.982837020888
35,125401.3024,229077.9744,0.547417545176268,214.361200683761,199.9888,634.6208,7.94983979072233,2.24542989668613,112.18512630194
36,124743.6432,229077.9744,0.544546648479532,219.233116344464,205.7968,651.464,8.05270972657551,2.22410159778456,113.075318934942
37,123914.0672,229077.9744,0.540925278934193,222.466907001795,207.3456,666.3712,8.12435128794544,2.19476196353791,113.645456687861
38,123469.368,229077.9744,0.538984022027392,224.082337568058,210.4432,678.9552,8.14754854576874,2.22577337319246,115.405187603264
39,122996.2096,229077.9744,0.536918531439573,225.267783150183,210.3464,704.3168,8.15819024682667,2.27119832346074,117.856878856497
40,121958.9008,229077.9744,0.532390340535506,227.111547113594,211.2176,722.3216,8.19134858390894,2.28108499449854,119.098152594136
41,121900.24,229077.9744,0.532134267029733,230.000452830189,215.38,740.9072,8.24087877401469,2.30420325515878,120.775470635136
42,120650.552,229077.9744,0.526678971716977,232.916123552124,216.1544,765.1072,8.29681380883335,2.30491680205634,122.387341894701
43,120777.9408,229077.9744,0.527235065336775,234.520273398058,216.6384,789.3072,8.31618903049988,2.3455926027257,124.606217570543
44,120881.1296,229077.9744,0.527685518071353,239.368573465347,221.0912,822.6064,8.40704333228657,2.35073355712251,126.676209378487
45,120158.0336,229077.9744,0.524528968420982,242.743502222222,223.9952,834.0288,8.47453302188541,2.33687374622633,127.38696149547
46,120591.6976,229077.9744,0.526422053084122,245.60427209776,225.544,841.7728,8.51410206350211,2.38745529691253,130.225457918577
47,120483.4752,229077.9744,0.525949627045419,247.908385185185,225.544,853.9696,8.55128786215139,2.40813165576234,131.723933912451
48,120388.4176,229077.9744,0.525534669648275,251.332813361169,228.0608,865.9728,8.62004407211676,2.38924190870575,132.615243920939
49,119560.7776,229077.9744,0.521921751373754,251.178104201681,227.6736,870.4256,8.60026202045974,2.4496067410758,134.721481855738
